,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.034,https://api.spotify.com/v1/audio-analysis/2UKMqNCVsHrAYzBZMA0rxL,0.51,207142,0.759,2UKMqNCVsHrAYzBZMA0rxL,0,9,0.077,-4.854,1,0.101,91.123,4,https://api.spotify.com/v1/tracks/2UKMqNCVsHrAYzBZMA0rxL,audio_features,spotify:track:2UKMqNCVsHrAYzBZMA0rxL,0.237
0,0.000128,https://api.spotify.com/v1/audio-analysis/1YCxiooVRFlMwIhbAhapkE,0.505,156456,0.844,1YCxiooVRFlMwIhbAhapkE,0.361,9,0.128,-5.242,1,0.0282,129.956,4,https://api.spotify.com/v1/tracks/1YCxiooVRFlMwIhbAhapkE,audio_features,spotify:track:1YCxiooVRFlMwIhbAhapkE,0.24
0,0.506,https://api.spotify.com/v1/audio-analysis/6Txc1UaLPh4rMYoQM2Ea63,0.65,159438,0.678,6Txc1UaLPh4rMYoQM2Ea63,1.39e-05,0,0.483,-6.565,1,0.0535,139.952,4,https://api.spotify.com/v1/tracks/6Txc1UaLPh4rMYoQM2Ea63,audio_features,spotify:track:6Txc1UaLPh4rMYoQM2Ea63,0.434
0,0.0447,https://api.spotify.com/v1/audio-analysis/4S28LWCOCR7eKkYYCrk9fN,0.387,191869,0.597,4S28LWCOCR7eKkYYCrk9fN,8.19e-05,7,0.0922,-6.293,1,0.0401,123.651,4,https://api.spotify.com/v1/tracks/4S28LWCOCR7eKkYYCrk9fN,audio_features,spotify:track:4S28LWCOCR7eKkYYCrk9fN,0.359
0,0.0811,https://api.spotify.com/v1/audio-analysis/0qT9ecolVnmtI3RyuCQ5qy,0.437,181500,0.643,0qT9ecolVnmtI3RyuCQ5qy,0.000505,7,0.113,-7.256,0,0.0361,137.013,4,https://api.spotify.com/v1/tracks/0qT9ecolVnmtI3RyuCQ5qy,audio_features,spotify:track:0qT9ecolVnmtI3RyuCQ5qy,0.415
0,0.0471,https://api.spotify.com/v1/audio-analysis/04mV3n8ZNGHvhxdJSyxE9d,0.512,160543,0.78,04mV3n8ZNGHvhxdJSyxE9d,0.0242,11,0.0856,-4.946,0,0.0409,93.998,4,https://api.spotify.com/v1/tracks/04mV3n8ZNGHvhxdJSyxE9d,audio_features,spotify:track:04mV3n8ZNGHvhxdJSyxE9d,0.609
0,0.00159,https://api.spotify.com/v1/audio-analysis/2J4QIV77CWoIWN6IY2u6pC,0.572,184000,0.405,2J4QIV77CWoIWN6IY2u6pC,0.00102,1,0.091,-8.906,1,0.025,72.981,4,https://api.spotify.com/v1/tracks/2J4QIV77CWoIWN6IY2u6pC,audio_features,spotify:track:2J4QIV77CWoIWN6IY2u6pC,0.399
0,0.000147,https://api.spotify.com/v1/audio-analysis/1QmhRaPMEMuYKRutxt9ond,0.238,205831,0.946,1QmhRaPMEMuYKRutxt9ond,0.000706,10,0.166,-4.054,0,0.126,158.757,4,https://api.spotify.com/v1/tracks/1QmhRaPMEMuYKRutxt9ond,audio_features,spotify:track:1QmhRaPMEMuYKRutxt9ond,0.276
0,0.00977,https://api.spotify.com/v1/audio-analysis/11FvComd16zZX61DrlP3o1,0.391,210851,0.8,11FvComd16zZX61DrlP3o1,3.08e-06,2,0.329,-2.761,1,0.0523,83.81,4,https://api.spotify.com/v1/tracks/11FvComd16zZX61DrlP3o1,audio_features,spotify:track:11FvComd16zZX61DrlP3o1,0.398
0,0.00595,https://api.spotify.com/v1/audio-analysis/7JuD5r43XpRLSrUBRBQ7Dy,0.578,181213,0.953,7JuD5r43XpRLSrUBRBQ7Dy,0.264,4,0.132,-3.215,1,0.0447,123.976,4,https://api.spotify.com/v1/tracks/7JuD5r43XpRLSrUBRBQ7Dy,audio_features,spotify:track:7JuD5r43XpRLSrUBRBQ7Dy,0.517
